Date/Time,roomTemp (deg C),defroStat,compStat,evapStat
21-04-2024 17:22,-1.2,OFF,ON,ON
21-04-2024 17:51,-15.8,OFF,ON,ON
21-04-2024 18:20,-17.9,OFF,ON,ON
21-04-2024 18:49,-18.9,OFF,ON,ON
21-04-2024 19:18,-19,OFF,ON,ON
21-04-2024 19:47,-19.8,OFF,ON,ON
21-04-2024 19:51,-19.8,ON,OFF,OFF
21-04-2024 20:11,10.1,OFF,OFF,OFF
21-04-2024 20:40,-13.7,OFF,ON,ON
21-04-2024 21:09,-17,OFF,ON,ON
21-04-2024 21:38,-18.1,OFF,ON,ON
21-04-2024 22:07,-16.6,OFF,ON,ON
21-04-2024 22:36,-17.9,OFF,ON,ON
21-04-2024 22:51,-18.4,ON,OFF,OFF
21-04-2024 23:11,10.4,OFF,OFF,OFF
21-04-2024 23:40,-14.6,OFF,ON,ON
22-04-2024 00:09,-16.9,OFF,ON,ON
22-04-2024 00:38,-18,OFF,ON,ON
22-04-2024 01:07,-18.5,OFF,ON,ON
22-04-2024 01:36,-19,OFF,ON,ON
22-04-2024 02:05,-0.4,ON,OFF,OFF
22-04-2024 02:34,-9.2,OFF,ON,ON
22-04-2024 03:03,-13,OFF,ON,ON
22-04-2024 03:32,-14.8,OFF,ON,ON
22-04-2024 04:01,-12.4,OFF,ON,ON
22-04-2024 04:30,-13.1,OFF,ON,ON
22-04-2024 04:59,-2.8,ON,OFF,OFF
22-04-2024 05:11,14.2,OFF,OFF,OFF
22-04-2024 05:21,2.3,OFF,ON,ON
22-04-2024 05:50,-8.1,OFF,ON,ON
22-04-2024 06:19,-9.5,OFF,ON,ON
22-04-2024 06:48,-11,OFF,ON,ON
22-04-2024 07:17,-12.3,OFF,ON,ON
22-04-2024 07:46,-13.4,OFF,ON,ON
22-04-2024 07:51,-13.6,ON,OFF,OFF
22-04-2024 08:11,11.6,OFF,OFF,OFF
22-04-2024 08:40,-11,OFF,ON,ON
22-04-2024 09:09,-13.2,OFF,ON,ON
22-04-2024 09:38,-14.6,OFF,ON,ON
22-04-2024 10:07,-12.9,OFF,ON,ON
22-04-2024 10:36,-15.2,OFF,ON,ON
